0,1,3,4
JLAC_MATCHED,LOCAL_METHOD,JLAC_METHOD,MEMO
対応JLACコード,ローカルコード,JLAC手法コード,メモ
ZZZZZZZZZZZZZZZZZ,1,271,可視吸光光度法（コレステロール酸化酵素法）
ZZZZZZZZZZZZZZZZZ,2,271,可視吸光光度法（酵素比色法・グリセロール消去）
ZZZZZZZZZZZZZZZZZ,3,271,可視吸光光度法（直接法（非沈殿法））
ZZZZZZZZZZZZZZZZZ,4,271,可視吸光光度法（化学酸化法）
ZZZZZZZZZZZZZZZZZ,5,271,可視吸光光度法（酵素法）
ZZZZZZZZZZZZZZZZZ,6,271,可視吸光光度法（ジアゾ法）
ZZZZZZZZZZZZZZZZZ,7,271,可視吸光光度法（JSCC標準化対応法）
ZZZZZZZZZZZZZZZZZ,8,271,可視吸光光度法（ウリカーゼ・ペルオキシダーゼ法）
ZZZZZZZZZZZZZZZZZ,9,271,可視吸光光度法（ビウレット法）
ZZZZZZZZZZZZZZZZZ,10,271,可視吸光光度法（BCG法）
ZZZZZZZZZZZZZZZZZ,11,271,可視吸光光度法（BCP改良法）
ZZZZZZZZZZZZZZZZZ,12,271,可視吸光光度法（ブドウ糖酸化酵素法）
ZZZZZZZZZZZZZZZZZ,13,062,可視吸光光度法（ラテックス凝集比濁法）
ZZZZZZZZZZZZZZZZZ,14,063,可視吸光光度法（免疫比濁法）
ZZZZZZZZZZZZZZZZZ,15,271,可視吸光光度法（IFCC（JSCC）標準化対応法）
ZZZZZZZZZZZZZZZZZ,16,272,紫外吸光光度法（コレステロール脱水素酵素法）
ZZZZZZZZZZZZZZZZZ,17,272,紫外吸光光度法（酵素比色法・グリセロール消去）
ZZZZZZZZZZZZZZZZZ,18,272,紫外吸光光度法（直説法（非沈殿法））
ZZZZZZZZZZZZZZZZZ,19,272,紫外吸光光度法（JSCC標準化対応法）
ZZZZZZZZZZZZZZZZZ,20,272,紫外線吸光光度法（ヘキソキナーゼ法、グルコキナーゼ法、ブドウ糖脱水素酵素法）
ZZZZZZZZZZZZZZZZZ,21,023,エンザイムイムノアッセイ（EIA）
ZZZZZZZZZZZZZZZZZ,22,261,電位差法（ブドウ糖酸化酵素電極法）
ZZZZZZZZZZZZZZZZZ,23,062,ラテックス凝集比濁法（免疫学的方法）
ZZZZZZZZZZZZZZZZZ,24,204,HPLC（不安定分画除去HPLC法）
ZZZZZZZZZZZZZZZZZ,25,271,酵素法
ZZZZZZZZZZZZZZZZZ,26,911,試験紙法（機械読み取り）
ZZZZZZZZZZZZZZZZZ,27,901,試験紙法（目視法）
ZZZZZZZZZZZZZZZZZ,28,101,試験管法　カラム凝集法
ZZZZZZZZZZZZZZZZZ,29,919,計算法
ZZZZZZZZZZZZZZZZZ,30,275,IFCC対応法(改定JSCC標準化対応法)
ZZZZZZZZZZZZZZZZZ,31,061,免疫比濁法（TIA）
ZZZZZZZZZZZZZZZZZ,32,61,その他
ZZZZZZZZZZZZZZZZZ,99,999,その他
